Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
293.16	4.0361	undefined	1.5080	1.5808	5.3285	1000.0	0.0010000	1.5080	1.5808	5.3285	74.633	75.158	1488.9	-0.22475	0.00099972	0.60028	1000.0	0.0010000	1.5080	1.5808	5.3285	74.633	75.158	1488.9	-0.22475	0.00099972	0.60028
293.66	4.2734	undefined	1.5453	1.6223	5.4557	1000.0	0.0010000	1.5453	1.6223	5.4557	74.586	75.141	1490.8	-0.22439	0.00098758	0.60128	1000.0	0.0010000	1.5453	1.6223	5.4557	74.586	75.141	1490.8	-0.22439	0.00098758	0.60128
294.16	4.5173	undefined	1.5826	1.6640	5.5825	1000.0	0.0010000	1.5826	1.6640	5.5825	74.539	75.124	1492.7	-0.22404	0.00097568	0.60228	1000.0	0.0010000	1.5826	1.6640	5.5825	74.539	75.124	1492.7	-0.22404	0.00097568	0.60228
294.66	4.7676	undefined	1.6199	1.7058	5.7091	1000.0	0.0010000	1.6199	1.7058	5.7091	74.491	75.107	1494.6	-0.22368	0.00096402	0.60327	1000.0	0.0010000	1.6199	1.7058	5.7091	74.491	75.107	1494.6	-0.22368	0.00096402	0.60327
295.16	5.0243	undefined	1.6571	1.7476	5.8353	1000.0	0.0010000	1.6571	1.7476	5.8353	74.443	75.090	1496.5	-0.22333	0.00095258	0.60426	1000.0	0.0010000	1.6571	1.7476	5.8353	74.443	75.090	1496.5	-0.22333	0.00095258	0.60426
295.66	5.2875	undefined	1.6943	1.7896	5.9613	1000.0	0.0010000	1.6943	1.7896	5.9613	74.394	75.073	1498.4	-0.22298	0.00094136	0.60526	1000.0	0.0010000	1.6943	1.7896	5.9613	74.394	75.073	1498.4	-0.22298	0.00094136	0.60526
296.16	5.5569	undefined	1.7315	1.8316	6.0870	1000.0	0.0010000	1.7315	1.8316	6.0870	74.345	75.057	1500.3	-0.22264	0.00093037	0.60625	1000.0	0.0010000	1.7315	1.8316	6.0870	74.345	75.057	1500.3	-0.22264	0.00093037	0.60625
296.66	5.8327	undefined	1.7687	1.8738	6.2123	1000.0	0.0010000	1.7687	1.8738	6.2123	74.296	75.040	1502.2	-0.22229	0.00091958	0.60724	1000.0	0.0010000	1.7687	1.8738	6.2123	74.296	75.040	1502.2	-0.22229	0.00091958	0.60724
297.16	6.1147	undefined	1.8058	1.9160	6.3374	1000.0	0.0010000	1.8058	1.9160	6.3374	74.246	75.024	1504.1	-0.22195	0.00090900	0.60823	1000.0	0.0010000	1.8058	1.9160	6.3374	74.246	75.024	1504.1	-0.22195	0.00090900	0.60823
297.66	6.4029	undefined	1.8429	1.9583	6.4622	1000.0	0.0010000	1.8429	1.9583	6.4622	74.196	75.008	1505.9	-0.22161	0.00089862	0.60922	1000.0	0.0010000	1.8429	1.9583	6.4622	74.196	75.008	1505.9	-0.22161	0.00089862	0.60922
298.16	6.6973	undefined	1.8800	2.0007	6.5867	1000.0	0.0010000	1.8800	2.0007	6.5867	74.146	74.991	1507.8	-0.22127	0.00088844	0.61020	1000.0	0.0010000	1.8800	2.0007	6.5867	74.146	74.991	1507.8	-0.22127	0.00088844	0.61020
298.66	6.9978	undefined	1.9171	2.0431	6.7109	1000.0	0.0010000	1.9171	2.0431	6.7109	74.095	74.975	1509.6	-0.22094	0.00087845	0.61119	1000.0	0.0010000	1.9171	2.0431	6.7109	74.095	74.975	1509.6	-0.22094	0.00087845	0.61119
299.16	7.3044	undefined	1.9541	2.0857	6.8348	1000.0	0.0010000	1.9541	2.0857	6.8348	74.043	74.959	1511.5	-0.22061	0.00086864	0.61217	1000.0	0.0010000	1.9541	2.0857	6.8348	74.043	74.959	1511.5	-0.22061	0.00086864	0.61217
299.66	7.6170	undefined	1.9911	2.1283	6.9584	1000.0	0.0010000	1.9911	2.1283	6.9584	73.992	74.943	1513.3	-0.22028	0.00085902	0.61316	1000.0	0.0010000	1.9911	2.1283	6.9584	73.992	74.943	1513.3	-0.22028	0.00085902	0.61316
300.16	7.9356	undefined	2.0281	2.1711	7.0817	1000.0	0.0010000	2.0281	2.1711	7.0817	73.940	74.927	1515.1	-0.21995	0.00084958	0.61414	1000.0	0.0010000	2.0281	2.1711	7.0817	73.940	74.927	1515.1	-0.21995	0.00084958	0.61414
300.66	8.2602	undefined	2.0650	2.2139	7.2047	1000.0	0.0010000	2.0650	2.2139	7.2047	73.887	74.911	1516.9	-0.21962	0.00084031	0.61512	1000.0	0.0010000	2.0650	2.2139	7.2047	73.887	74.911	1516.9	-0.21962	0.00084031	0.61512
301.16	8.5906	undefined	2.1020	2.2567	7.3274	1000.0	0.0010000	2.1020	2.2567	7.3274	73.835	74.896	1518.7	-0.21930	0.00083121	0.61609	1000.0	0.0010000	2.1020	2.2567	7.3274	73.835	74.896	1518.7	-0.21930	0.00083121	0.61609
301.66	8.9270	undefined	2.1389	2.2997	7.4499	1000.0	0.0010000	2.1389	2.2997	7.4499	73.782	74.880	1520.5	-0.21897	0.00082227	0.61707	1000.0	0.0010000	2.1389	2.2997	7.4499	73.782	74.880	1520.5	-0.21897	0.00082227	0.61707
302.16	9.2691	undefined	2.1758	2.3427	7.5720	1000.0	0.0010000	2.1758	2.3427	7.5720	73.728	74.864	1522.3	-0.21865	0.00081350	0.61804	1000.0	0.0010000	2.1758	2.3427	7.5720	73.728	74.864	1522.3	-0.21865	0.00081350	0.61804
